Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
3223,Barbosa Nogueira e Filhos Ltda,S/A Illum,93.408.675/0001-55,3511-5/00 (Geração de energia solar),"Parque Martins, 377",Silva de Silveira,CE,Brasil,joao-miguel49@santos.net,+55 (084) 4131-2722,Ativa
3224,Pinto S/A Ltda,- ME Aliquam,84.935.720/0001-39,7020-4/00 (Consultoria empresarial),"Quadra de Araújo, 36",Moreira,MA,Brasil,vitoriapires@jesus.net,+55 (031) 5624-8087,Ativa
3225,Ferreira - ME Ltda,e Filhos Quas,10.785.924/0001-02,1091-1/02 (Fabricação de alimentos),"Estrada Barbosa, 25",Campos da Prata,PI,Brasil,costamaria-alice@santos.com,51 9994 1274,Ativa
3226,Freitas Ltda,- EI Enim,78.306.592/0001-61,7020-4/00 (Consultoria empresarial),"Área Ramos, 21",Cunha de Goiás,TO,Brasil,maria-alicelopes@carvalho.com,+55 (051) 5318 6265,Ativa
3227,Pinto Souza Ltda. Ltda,e Filhos Veritatis,64.758.213/0001-60,6619-3/02 (Serviços financeiros),"Loteamento Dias, 44",Moura,SC,Brasil,ana-juliapeixoto@pires.br,+55 84 9079-0348,Ativa
3228,Novaes Ltda,- EI Error,19.670.354/0001-71,4671-6/00 (Com. atac. insumos agrícolas),"Lagoa Freitas, 324",Correia,SC,Brasil,cardosomaria-julia@carvalho.br,(021) 7673-6483,Ativa
3229,Almeida Ltda,Ltda. Necessitatibus,85.214.096/0001-43,4671-6/00 (Com. atac. insumos agrícolas),"Residencial Sales, 45",Fogaça do Amparo,SP,Brasil,rebecanascimento@ferreira.br,31 7889-5057,Ativa
3230,Porto Ltda,- ME Nobis,54.780.163/0001-63,4930-2/01 (Transporte de cargas),Pátio da Rosa,Cardoso Verde,DF,Brasil,henrique66@silveira.org,(051) 3166 5385,Inativa
3231,das Neves Ltda,Ltda. Reprehenderit,62.937.814/0001-04,6201-5/01 (Desenvolvimento de software),"Residencial Ana Clara Fernandes, 56",Cardoso,RN,Brasil,duartepaulo@azevedo.com,+55 (021) 0099 0177,Inativa
3232,das Neves Ltda,e Filhos Soluta,81.967.432/0001-78,4671-6/00 (Com. atac. insumos agrícolas),"Parque de da Rosa, 42",Rocha do Sul,AP,Brasil,salestheo@da.org,+55 71 4434-5105,Ativa
3233,Vieira S/A Ltda,S.A. Ullam,07.295.314/0001-08,8020-0/01 (Monitoramento de segurança),"Estrada de da Luz, 457",Caldeira de Farias,MT,Brasil,ana-sophiamoreira@aragao.br,+55 71 4330 9159,Ativa
3234,da Luz Gomes S.A. Ltda,- ME Voluptatibus,63.705.241/0001-56,8599-6/04 (Treinamento profissional),"Vale Bárbara Mendes, 8",Novaes do Amparo,MA,Brasil,laisaraujo@almeida.net,(051) 5118 9600,Ativa
3235,Barbosa Ltda,e Filhos Hic,08.145.239/0001-61,6201-5/01 (Desenvolvimento de software),"Recanto de Azevedo, 529",Monteiro,MS,Brasil,da-costamaite@silva.net,71 2640 7958,Inativa
3236,Mendes S.A. Ltda,S.A. Deserunt,67.351.928/0001-91,3511-5/00 (Geração de energia solar),"Núcleo Emanuella Costela, 34",Souza,DF,Brasil,yurisilveira@lopes.org,51 2235 7924,Inativa
3237,Pinto S/A Ltda,Ltda. Nostrum,62.049.157/0001-69,8020-0/01 (Monitoramento de segurança),"Alameda Laís Carvalho, 1",Mendes do Galho,AL,Brasil,maria-ceciliada-luz@lopes.br,(041) 4215 8950,Ativa
3238,Sales Ltda,e Filhos Deleniti,87.526.941/0001-41,6619-3/02 (Serviços financeiros),"Lago Bruna Porto, 89",Pereira,BA,Brasil,samuel21@gomes.com,+55 61 3707 9041,Inativa
3239,Pereira S.A. Ltda,Ltda. Sit,58.143.029/0001-02,1091-1/02 (Fabricação de alimentos),"Feira de Dias, 626",Farias de Monteiro,MT,Brasil,das-nevesnathan@barros.com,+55 41 9900-5990,Ativa
3240,da Luz Ltda,- EI Veniam,31.592.680/0001-03,7020-4/00 (Consultoria empresarial),Passarela Nogueira,Teixeira,GO,Brasil,pedro-lucas22@sales.com,51 7247 5299,Ativa
3241,Pires Ltda,- ME Rem,31.074.628/0001-65,6619-3/02 (Serviços financeiros),"Sítio Paulo da Rosa, 577",Pereira,BA,Brasil,zmonteiro@rodrigues.net,0800 601 5840,Ativa
3242,Rocha - ME Ltda,S/A Inventore,86.027.413/0001-85,2063-1/00 (Fabricação de cosméticos),"Feira de Porto, 83",Lima da Serra,AM,Brasil,emoura@farias.net,(041) 9477 2529,Ativa
3243,Freitas e Filhos Ltda,- EI Illo,06.492.385/0001-38,6201-5/01 (Desenvolvimento de software),"Travessa Maria Eduarda Novaes, 623",Porto,TO,Brasil,aduarte@da.com,(084) 9426-6980,Ativa
3244,Correia Santos Ltda. Ltda,- EI Deleniti,62.839.741/0001-18,3511-5/00 (Geração de energia solar),"Morro de Cunha, 506",Souza,DF,Brasil,caiosilveira@barros.br,+55 (051) 4381 4388,Ativa
3245,Cunha Ltda,e Filhos Corporis,23.147.568/0001-35,4671-6/00 (Com. atac. insumos agrícolas),"Avenida Dias, 85",Araújo,ES,Brasil,ana-sophia71@gomes.br,(061) 6958-7237,Inativa
3246,Nunes S.A. Ltda,- EI Rerum,18.734.956/0001-82,3511-5/00 (Geração de energia solar),"Via de Barros, 76",Teixeira,MT,Brasil,pedro-miguel72@da.br,41 7513-0775,Inativa
3247,Silveira Costela Ltda. Ltda,S/A Placeat,09.536.248/0001-46,2063-1/00 (Fabricação de cosméticos),"Esplanada Souza, 811",Duarte,MG,Brasil,carolineda-luz@ferreira.com,0300 820 6842,Ativa
3248,da Cunha Ltda,- EI Maxime,71.326.405/0001-62,3511-5/00 (Geração de energia solar),"Rodovia Calebe Carvalho, 81",Dias do Galho,RN,Brasil,breno03@ferreira.br,(081) 6857-7653,Inativa
3249,Pinto Ltda,S.A. Repellendus,31.927.064/0001-66,2063-1/00 (Fabricação de cosméticos),"Rua Enzo Costa, 84",Aragão,MT,Brasil,palves@da.br,(071) 6665-9134,Inativa
3250,das Neves Ltda,S.A. Quo,18.930.627/0001-07,2063-1/00 (Fabricação de cosméticos),"Esplanada Carvalho, 113",Moreira Alegre,SC,Brasil,nazevedo@moura.br,+55 81 5847-0881,Ativa
3251,da Conceição Silveira S/A Ltda,S/A Eligendi,25.098.734/0001-86,8020-0/01 (Monitoramento de segurança),"Avenida Matheus Silveira, 6",Ramos de da Mota,MT,Brasil,luiz-miguelmartins@pinto.br,+55 61 2714 6519,Inativa
3252,Almeida Gonçalves S.A. Ltda,S/A Possimus,71.836.502/0001-03,4671-6/00 (Com. atac. insumos agrícolas),Passarela Teixeira,Cavalcanti do Campo,MT,Brasil,luiz-henriquecorreia@novaes.br,(021) 4619 2979,Inativa
3253,Costa Ltda,- EI Quae,08.936.721/0001-10,4930-2/01 (Transporte de cargas),"Via da Luz, 26",Santos,PE,Brasil,piresguilherme@nascimento.com,(031) 9065-0609,Ativa
3254,das Neves - ME Ltda,Ltda. Voluptatum,04.362.589/0001-29,4671-6/00 (Com. atac. insumos agrícolas),"Recanto da Rosa, 11",Moreira,CE,Brasil,da-rochaaugusto@silva.org,+55 61 8035-7006,Inativa
3255,Santos Ltda,S/A Labore,80.659.247/0001-53,8020-0/01 (Monitoramento de segurança),Estação da Cunha,Moreira,CE,Brasil,lorena23@moreira.com,+55 (084) 8786-3596,Ativa
3256,Gonçalves Ltda,S.A. Nam,26.547.398/0001-74,6201-5/01 (Desenvolvimento de software),"Jardim Levi Fogaça, 25",Correia de Castro,MA,Brasil,frodrigues@cavalcanti.br,+55 41 1710-1444,Ativa
3257,da Costa Ltda,S/A Veniam,20.364.917/0001-82,6201-5/01 (Desenvolvimento de software),"Vereda Novaes, 97",Costa,PA,Brasil,rafaelasilva@sales.com,(071) 4968-6274,Inativa
3258,da Rocha Cardoso - EI Ltda,S/A Odit,13.892.547/0001-90,1091-1/02 (Fabricação de alimentos),"Recanto Castro, 61",Teixeira de Minas,PA,Brasil,yazevedo@da.net,+55 84 7338-9890,Ativa
3259,Almeida Ltda,S/A Quibusdam,03.756.124/0001-90,8599-6/04 (Treinamento profissional),"Trecho de Ferreira, 18",da Luz,SE,Brasil,fernanda59@almeida.br,+55 51 8714 9484,Inativa
3260,Lima Gomes S/A Ltda,e Filhos Nesciunt,18.679.254/0001-43,4930-2/01 (Transporte de cargas),"Vereda Ana Carolina Alves, 8",Rezende,PR,Brasil,ana-livia57@melo.com,+55 21 1264 0390,Ativa
3261,Silva da Cruz - EI Ltda,Ltda. Voluptatem,74.635.192/0001-49,6201-5/01 (Desenvolvimento de software),"Trevo de Peixoto, 2",Campos do Amparo,AL,Brasil,mirellamelo@pires.com,+55 71 1077 7864,Inativa
3262,Lopes Ltda,- EI Ducimus,92.048.713/0001-43,4930-2/01 (Transporte de cargas),"Conjunto Luiz Felipe Azevedo, 34",Lima,AC,Brasil,lopesmariana@rocha.com,+55 71 3804-2333,Inativa
3263,da Rosa Ltda,Ltda. Quisquam,15.849.670/0001-54,3511-5/00 (Geração de energia solar),"Pátio Miguel Castro, 2",Silva,RR,Brasil,cfernandes@freitas.br,+55 71 1803-5531,Inativa
3264,da Cruz Mendes Ltda. Ltda,e Filhos Dolor,75.029.316/0001-05,8020-0/01 (Monitoramento de segurança),"Quadra Lima, 24",Cardoso do Sul,ES,Brasil,souzajulia@fernandes.org,84 8055-7712,Inativa
3265,Peixoto Lopes S.A. Ltda,e Filhos Cupiditate,92.451.863/0001-01,4930-2/01 (Transporte de cargas),"Residencial Silva, 29",Costa Verde,SE,Brasil,matheussouza@silva.net,(051) 9493-4000,Ativa
3266,Cunha Ltda,Ltda. Quasi,38.601.452/0001-00,7020-4/00 (Consultoria empresarial),"Conjunto Silveira, 80",Santos da Serra,AC,Brasil,freitasana-carolina@peixoto.org,(081) 6675 5443,Ativa
3267,Rodrigues Ltda,- EI Accusamus,58.302.471/0001-34,4671-6/00 (Com. atac. insumos agrícolas),"Travessa Vitor Castro, 39",Viana do Norte,AP,Brasil,mariane41@da.org,(081) 4993-5464,Ativa
3268,da Cruz Ltda,S.A. Dolores,37.894.205/0001-78,6201-5/01 (Desenvolvimento de software),"Residencial de Nunes, 7",Dias da Serra,PE,Brasil,rda-costa@moraes.com,+55 (061) 2448-9027,Inativa
3269,Pereira Novaes - EI Ltda,S.A. Expedita,23.197.408/0001-09,8020-0/01 (Monitoramento de segurança),Esplanada da Mota,Silva Alegre,AL,Brasil,duarteyuri@jesus.org,(011) 8617-7603,Inativa
3270,da Paz e Filhos Ltda,- EI Voluptatem,28.609.753/0001-18,6619-3/02 (Serviços financeiros),"Feira Cunha, 406",Correia do Oeste,SC,Brasil,isabelly40@sales.net,+55 (084) 3289 2020,Inativa
3271,Ribeiro Ltda,e Filhos Dolor,35.728.496/0001-07,4930-2/01 (Transporte de cargas),"Travessa Ferreira, 61",Melo,BA,Brasil,caldeiramaria-julia@campos.br,+55 71 9786 6837,Ativa
3272,Campos Ltda,S.A. Quae,52.831.946/0001-01,4930-2/01 (Transporte de cargas),"Residencial Moraes, 65",Farias do Campo,PB,Brasil,nmonteiro@freitas.br,+55 61 4186 9758,Ativa
3273,Costela Ltda,Ltda. Earum,32.605.497/0001-68,1091-1/02 (Fabricação de alimentos),"Estação Silveira, 53",das Neves Verde,RJ,Brasil,brendamonteiro@goncalves.br,+55 81 0171-9962,Inativa
3274,Araújo Ltda,Ltda. Nobis,82.475.396/0001-98,2063-1/00 (Fabricação de cosméticos),Pátio de da Cruz,Pires da Praia,BA,Brasil,pazevedo@rezende.br,+55 (011) 6315-2094,Inativa
3275,Gomes Ltda,- EI Quis,36.749.580/0001-61,8020-0/01 (Monitoramento de segurança),"Loteamento de da Mata, 276",Jesus,ES,Brasil,julianacostela@castro.com,+55 11 6960-0838,Inativa
3276,Cardoso e Filhos Ltda,S/A Ab,85.371.249/0001-66,8020-0/01 (Monitoramento de segurança),"Campo Enrico Peixoto, 1",Lima,AC,Brasil,da-motafrancisco@ribeiro.net,0300-872-5942,Ativa
3277,Mendes Ltda,- EI Optio,18.235.097/0001-87,7020-4/00 (Consultoria empresarial),"Favela Santos, 32",Oliveira de Cunha,ES,Brasil,peixotocaio@da.br,(084) 1580-3767,Inativa
3278,Gomes Ltda,e Filhos Id,23.078.615/0001-36,7020-4/00 (Consultoria empresarial),"Colônia Gonçalves, 76",Costa,MT,Brasil,qfogaca@lima.br,(051) 5452 1622,Inativa
3279,Viana - ME Ltda,- ME Dolores,95.378.062/0001-48,3511-5/00 (Geração de energia solar),"Lago de Martins, 36",Silva de Minas,PR,Brasil,thaleslima@silva.net,(084) 9843 7021,Ativa
3280,Araújo Ltda,S/A Deserunt,24.580.163/0001-59,8020-0/01 (Monitoramento de segurança),"Lagoa Gonçalves, 3",Souza de Cunha,ES,Brasil,alexandre61@rezende.com,71 8025 1313,Ativa
3281,das Neves Ltda,S.A. Quos,83.704.956/0001-00,3511-5/00 (Geração de energia solar),"Travessa Peixoto, 9",Oliveira Alegre,MA,Brasil,camilacastro@duarte.com,(084) 7624 6087,Inativa
3282,Silva Ltda,- ME Maxime,75.493.628/0001-75,3511-5/00 (Geração de energia solar),"Núcleo Martins, 2",Correia da Praia,MA,Brasil,fernanda12@jesus.net,+55 (084) 2166-2080,Inativa
3283,Lima Ltda,e Filhos Animi,39.806.127/0001-38,8020-0/01 (Monitoramento de segurança),Jardim da Mata,Melo da Praia,PI,Brasil,brunabarbosa@ramos.com,+55 21 5762-4613,Ativa
3284,Novaes Freitas e Filhos Ltda,S.A. Repellendus,61.082.934/0001-04,2063-1/00 (Fabricação de cosméticos),"Chácara Vitória Aragão, 67",Costela,MT,Brasil,luiz-miguel69@silveira.org,(071) 8457-4170,Ativa
3285,Caldeira Ltda,e Filhos Et,85.023.614/0001-41,6619-3/02 (Serviços financeiros),"Pátio de Fogaça, 19",Cardoso do Galho,RR,Brasil,eloah63@castro.net,(011) 3998-4874,Inativa
3286,Campos Ltda,- ME Maiores,72.861.304/0001-54,8599-6/04 (Treinamento profissional),"Morro de da Rosa, 94",Alves,PB,Brasil,lucas77@costa.br,+55 41 6906-3621,Ativa
3287,Barbosa Rezende S.A. Ltda,S.A. Voluptatibus,85.936.427/0001-59,8020-0/01 (Monitoramento de segurança),"Sítio Cavalcanti, 79",Pereira,SE,Brasil,isis33@dias.org,41 3247-9929,Inativa
3288,Correia Ltda,S/A Sed,91.732.548/0001-81,4671-6/00 (Com. atac. insumos agrícolas),Lago de Correia,Ramos da Praia,AM,Brasil,psales@da.com,(011) 3067-6894,Inativa
3289,Gomes Ltda,- EI Accusamus,65.893.170/0001-98,1091-1/02 (Fabricação de alimentos),"Esplanada de da Costa, 13",Lopes do Campo,PB,Brasil,xalves@da.com,+55 41 5916 7710,Inativa
3290,Santos Ltda,- EI Optio,50.847.692/0001-86,1091-1/02 (Fabricação de alimentos),Feira Cunha,Porto,PB,Brasil,joana11@rocha.org,(061) 1071-0651,Inativa
3291,Gonçalves Costela S.A. Ltda,S/A Ducimus,09.562.371/0001-31,8599-6/04 (Treinamento profissional),Rua da Cruz,Martins,RR,Brasil,bruno23@azevedo.com,+55 (051) 9253 5867,Inativa
3292,Barros S/A Ltda,- ME Praesentium,68.571.429/0001-72,6201-5/01 (Desenvolvimento de software),"Residencial Levi Peixoto, 3",Nascimento,AM,Brasil,krocha@da.br,+55 81 0613 4756,Ativa
3293,Vieira - EI Ltda,e Filhos Rem,53.428.619/0001-68,4671-6/00 (Com. atac. insumos agrícolas),"Praia Paulo Viana, 5",Moreira de da Luz,MS,Brasil,fernanda81@da.br,+55 (011) 6423 5234,Inativa
3294,Sales Ltda,e Filhos Occaecati,63.154.087/0001-71,4671-6/00 (Com. atac. insumos agrícolas),"Rodovia Diego Barros, 96",Pires,CE,Brasil,dsouza@teixeira.br,(021) 9050 3424,Inativa
3295,Porto - ME Ltda,e Filhos Dignissimos,50.923.178/0001-82,1091-1/02 (Fabricação de alimentos),"Avenida da Cunha, 373",Porto,CE,Brasil,monteirolevi@cardoso.com,+55 61 4960 2931,Ativa
3296,Moura e Filhos Ltda,S.A. Qui,24.591.083/0001-07,1091-1/02 (Fabricação de alimentos),"Colônia de Vieira, 52",Moura do Oeste,AL,Brasil,monteironina@freitas.br,(041) 7610-0537,Inativa
3297,Ferreira Ltda,e Filhos Iste,93.512.806/0001-40,1091-1/02 (Fabricação de alimentos),"Rodovia de Jesus, 127",Novaes,GO,Brasil,gomesfrancisco@souza.org,+55 71 4977 7914,Inativa
3298,Nogueira Ltda,S.A. Quod,69.754.280/0001-20,7020-4/00 (Consultoria empresarial),"Lagoa de Cardoso, 22",Santos das Pedras,AC,Brasil,joao-gabrielcavalcanti@rezende.com,31 7355-3065,Inativa
3299,Pinto Ltda,Ltda. Ipsam,85.217.934/0001-32,1091-1/02 (Fabricação de alimentos),"Feira Larissa da Rocha, 2",Pereira do Amparo,RN,Brasil,pmoura@alves.br,+55 (084) 9116-3982,Ativa
3300,Cavalcanti Ltda,S.A. Recusandae,05.786.913/0001-07,3511-5/00 (Geração de energia solar),"Vereda de Melo, 85",da Luz,SE,Brasil,stephanyvieira@farias.com,+55 31 2277-6671,Inativa
3301,da Mata Ltda,- EI Tempora,05.684.239/0001-41,3511-5/00 (Geração de energia solar),"Área Moreira, 10",Silva de Goiás,RO,Brasil,alanalopes@goncalves.br,(041) 8113 0424,Inativa
3302,Cavalcanti Rodrigues S/A Ltda,S/A Et,78.692.013/0001-66,7020-4/00 (Consultoria empresarial),"Sítio Caroline Nogueira, 93",da Mata dos Dourados,ES,Brasil,bernardocardoso@rezende.br,(021) 1197 3397,Inativa
3303,Jesus Cardoso Ltda. Ltda,Ltda. Repellat,19.736.402/0001-87,8020-0/01 (Monitoramento de segurança),"Estrada da Luz, 8",Sales das Flores,AM,Brasil,nunesjoao-guilherme@castro.com,(041) 6762-3304,Inativa
3304,Jesus Ltda,Ltda. Sint,89.042.567/0001-34,8599-6/04 (Treinamento profissional),"Chácara de Gomes, 35",Pires,DF,Brasil,castroana@fernandes.net,+55 (084) 3784-3651,Ativa
3305,Caldeira Ltda,- ME Ducimus,14.326.058/0001-34,8599-6/04 (Treinamento profissional),"Fazenda da Paz, 29",Mendes Alegre,PE,Brasil,moraesluiz-henrique@fernandes.net,0900-138-5996,Inativa
3306,Duarte S.A. Ltda,- ME Ab,60.841.975/0001-74,2063-1/00 (Fabricação de cosméticos),"Campo de Costela, 72",Jesus,PR,Brasil,andrenogueira@ferreira.br,0300-460-9995,Ativa
3307,Monteiro Ltda,S.A. Aliquid,57.023.486/0001-09,3511-5/00 (Geração de energia solar),"Esplanada Joana Barbosa, 676",Melo,CE,Brasil,xpeixoto@barros.br,(081) 9615 7227,Ativa
3308,Rodrigues Cavalcanti S/A Ltda,- ME Quidem,46.079.351/0001-30,3511-5/00 (Geração de energia solar),"Núcleo de Farias, 703",Pires de Cardoso,SE,Brasil,lpeixoto@da.com,+55 31 7866 7757,Ativa
3309,Gonçalves Silveira e Filhos Ltda,S.A. Cupiditate,82.709.354/0001-74,6201-5/01 (Desenvolvimento de software),"Estação Esther da Luz, 56",Cardoso,TO,Brasil,araujoluana@da.net,(021) 7322-4671,Ativa
3310,Barros Ltda. Ltda,S.A. Ducimus,98.471.256/0001-81,1091-1/02 (Fabricação de alimentos),"Largo de Rocha, 25",Moura do Sul,PB,Brasil,das-nevesheitor@cardoso.com,0300 856 9154,Inativa
3311,Lopes Ltda,e Filhos Voluptate,61.230.859/0001-81,4671-6/00 (Com. atac. insumos agrícolas),"Trecho Farias, 55",da Paz,SE,Brasil,joao-pedrosantos@dias.org,81 0024 4469,Inativa
3312,Ramos Ltda,Ltda. Id,73.024.891/0001-90,6201-5/01 (Desenvolvimento de software),"Rua de Farias, 16",Freitas,AC,Brasil,monteiroisadora@rocha.org,41 7188 7585,Inativa
3313,Viana Cavalcanti - EI Ltda,S.A. Suscipit,19.735.608/0001-92,7020-4/00 (Consultoria empresarial),Morro Enzo Gabriel Jesus,da Conceição das Flores,RS,Brasil,ymonteiro@cardoso.br,+55 84 1346-5729,Inativa
3314,Lima - EI Ltda,S.A. Fuga,81.062.354/0001-62,8599-6/04 (Treinamento profissional),"Rodovia Porto, 12",Nascimento,RN,Brasil,oduarte@goncalves.net,(031) 6824 4826,Ativa
3315,Rodrigues Ltda,Ltda. Optio,75.041.329/0001-08,1091-1/02 (Fabricação de alimentos),"Fazenda Fernanda Ribeiro, 8",da Conceição da Prata,RN,Brasil,juliadias@cunha.br,31 3211 4421,Ativa
3316,Moraes S.A. Ltda,S/A Consequatur,25.048.763/0001-33,4671-6/00 (Com. atac. insumos agrícolas),Via de Souza,Ramos de Silva,RS,Brasil,zdias@cardoso.com,21 3881 4432,Inativa
3317,Santos Souza - EI Ltda,S/A Suscipit,92.157.468/0001-02,2063-1/00 (Fabricação de cosméticos),"Residencial Souza, 137",da Cruz da Praia,MS,Brasil,luiz-felipe02@nascimento.br,+55 (031) 5988-1804,Inativa
3318,Gomes - ME Ltda,e Filhos Adipisci,97.826.540/0001-60,3511-5/00 (Geração de energia solar),"Alameda Rocha, 61",da Luz,MS,Brasil,piresenzo-gabriel@nascimento.net,+55 (031) 0740-2148,Inativa
3319,Caldeira Ltda,- ME Mollitia,47.538.269/0001-90,1091-1/02 (Fabricação de alimentos),"Fazenda Maria Porto, 80",Rocha da Mata,AM,Brasil,vitorrocha@lima.com,+55 (084) 7098-0417,Ativa
3320,da Rocha Ltda,S.A. Labore,61.428.093/0001-44,4671-6/00 (Com. atac. insumos agrícolas),"Rua Kaique Santos, 90",Ferreira do Oeste,TO,Brasil,igomes@moura.br,+55 21 5017-9526,Ativa
3321,Porto Ltda,Ltda. Nesciunt,61.357.429/0001-25,7020-4/00 (Consultoria empresarial),Recanto de da Mata,Lopes,RJ,Brasil,thalescostela@azevedo.net,+55 41 3718-9887,Inativa
3322,Martins e Filhos Ltda,Ltda. Ab,98.230.751/0001-07,3511-5/00 (Geração de energia solar),"Condomínio Yasmin Cardoso, 80",da Conceição de Sales,CE,Brasil,enricogoncalves@azevedo.br,61 9019-1494,Ativa
3323,Campos Cavalcanti S/A Ltda,Ltda. Reiciendis,09.431.678/0001-01,6619-3/02 (Serviços financeiros),"Praça de Ramos, 70",Alves Alegre,RS,Brasil,lunajesus@aragao.com,+55 (084) 5859-9532,Inativa
3324,Vieira Ltda. Ltda,- EI Officia,80.137.294/0001-37,6619-3/02 (Serviços financeiros),"Rodovia de da Mota, 2",Gonçalves Verde,RN,Brasil,correiamatheus@cardoso.net,+55 (071) 2718-5513,Ativa
3325,Fogaça Ltda,S/A Voluptatum,17.984.620/0001-05,2063-1/00 (Fabricação de cosméticos),"Praça Gomes, 741",Cunha,SE,Brasil,oliveiraalice@teixeira.com,+55 (021) 1463-3007,Inativa
3326,Porto Ltda,- ME Quidem,52.147.369/0001-25,8599-6/04 (Treinamento profissional),"Viaduto Lima, 19",Fogaça de Minas,RN,Brasil,joao-lucasfreitas@da.br,(021) 6086-6849,Inativa
3327,Nogueira S.A. Ltda,S/A Sunt,05.621.473/0001-20,3511-5/00 (Geração de energia solar),"Vale Paulo Duarte, 2",Pires de Teixeira,RO,Brasil,fernandada-paz@ferreira.org,71 3946-3294,Inativa
3328,Cavalcanti Ltda,S.A. Accusantium,65.143.809/0001-18,1091-1/02 (Fabricação de alimentos),"Sítio Moraes, 777",Rocha,RN,Brasil,nunesjoao-gabriel@cunha.net,(084) 6748 8746,Ativa
3329,Gomes Azevedo S.A. Ltda,- EI Tenetur,51.462.038/0001-17,3511-5/00 (Geração de energia solar),"Lago Maria Luiza Pereira, 8",Cavalcanti de Rocha,GO,Brasil,leticiacardoso@alves.br,(071) 7203 1397,Ativa
3330,Melo Moreira S/A Ltda,- EI Sit,07.398.452/0001-12,4671-6/00 (Com. atac. insumos agrícolas),"Morro Nascimento, 43",Novaes,AL,Brasil,henriquejesus@viana.com,+55 (061) 4514 1889,Inativa
3331,Silva Almeida Ltda. Ltda,S.A. Tempore,48.105.793/0001-30,4930-2/01 (Transporte de cargas),"Viaduto de da Costa, 91",Porto,ES,Brasil,azevedoamanda@ramos.br,21 9432 8258,Inativa
3332,Fernandes Ltda,- EI Autem,30.591.426/0001-28,1091-1/02 (Fabricação de alimentos),"Viela de da Cunha, 97",Silva de Gonçalves,SE,Brasil,noahcorreia@melo.com,+55 31 9492-0491,Inativa
3333,Mendes Ltda,Ltda. Tempora,90.618.452/0001-24,4671-6/00 (Com. atac. insumos agrícolas),"Trecho Santos, 99",da Paz de Duarte,RR,Brasil,leandrocardoso@rodrigues.net,+55 (051) 4844-4732,Ativa
3334,Cardoso S.A. Ltda,S.A. Voluptatem,98.324.015/0001-00,6619-3/02 (Serviços financeiros),"Loteamento de Monteiro, 31",Teixeira da Prata,PE,Brasil,mnunes@freitas.com,+55 (061) 0964-0576,Ativa
3335,da Costa Ltda,Ltda. Dicta,96.325.187/0001-72,7020-4/00 (Consultoria empresarial),"Lago de Pinto, 65",Carvalho,PE,Brasil,lauracosta@lima.br,(021) 8394 7576,Inativa
3336,da Cruz Ltda,Ltda. Sint,29.516.704/0001-01,8599-6/04 (Treinamento profissional),"Setor Pedro Lucas Peixoto, 91",da Rosa de Minas,PI,Brasil,eda-rocha@cardoso.br,+55 (081) 3233 1074,Inativa
3337,da Luz Cardoso e Filhos Ltda,e Filhos Commodi,98.536.742/0001-30,3511-5/00 (Geração de energia solar),"Viaduto João Lucas Barros, 65",das Neves,GO,Brasil,almeidaluiz-gustavo@barbosa.br,+55 41 8816 2025,Ativa
3338,Nogueira Ltda,Ltda. Sit,35.621.809/0001-15,7020-4/00 (Consultoria empresarial),"Núcleo de Moura, 13",Ramos das Flores,DF,Brasil,antoniosilveira@goncalves.com,(011) 4232 4814,Ativa
3339,Moreira Ltda. Ltda,Ltda. Quibusdam,78.905.624/0001-45,1091-1/02 (Fabricação de alimentos),"Condomínio Caroline Dias, 70",da Cunha da Prata,PB,Brasil,viniciusda-rosa@alves.com,84 2112-8666,Inativa
3340,Cardoso Ltda,e Filhos Voluptate,05.124.796/0001-08,3511-5/00 (Geração de energia solar),"Favela de Pereira, 734",Lopes de Farias,MG,Brasil,maitepeixoto@nogueira.br,(081) 0853 7713,Inativa
3341,da Paz S/A Ltda,S/A Officia,39.065.482/0001-01,1091-1/02 (Fabricação de alimentos),"Lagoa da Rocha, 16",Castro Verde,MS,Brasil,da-matadiego@cardoso.br,0900 106 1947,Ativa
3342,Ferreira Ltda,S/A Assumenda,86.439.721/0001-18,6201-5/01 (Desenvolvimento de software),"Trevo Alícia da Costa, 16",Barbosa do Campo,MT,Brasil,vnovaes@ramos.org,+55 51 5922 9053,Inativa
3343,Nunes S/A Ltda,- EI Recusandae,36.185.470/0001-14,7020-4/00 (Consultoria empresarial),Lagoa Lucca Novaes,Ribeiro do Campo,SC,Brasil,ana-laura16@ribeiro.br,41 8028 0726,Ativa
3344,Santos da Costa Ltda. Ltda,S.A. Rerum,96.210.458/0001-44,2063-1/00 (Fabricação de cosméticos),"Sítio da Conceição, 1",da Costa de Correia,BA,Brasil,luiz-fernando70@da.net,+55 (081) 4045 0364,Inativa
3345,Moura da Mata e Filhos Ltda,S/A Nostrum,97.056.328/0001-61,4671-6/00 (Com. atac. insumos agrícolas),"Lagoa de da Cunha, 93",Viana do Amparo,RS,Brasil,lavinianovaes@moreira.br,+55 (071) 0318-2788,Inativa
3346,Martins - EI Ltda,- ME Ad,24.906.187/0001-55,2063-1/00 (Fabricação de cosméticos),"Ladeira Fernando Correia, 60",Azevedo,MS,Brasil,rnogueira@novaes.com,0500-674-2989,Ativa
